Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,FAR.Description,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight
Non-Fatal,Substantial,Airplane,Mooney,M20E,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,1.0,VMC,Cruise
Non-Fatal,Substantial,Airplane,Kinner,Sportster,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,2.0,VMC,Landing
Non-Fatal,Substantial,Airplane,"Jabat, Inc.",Avid Flyer,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,1.0,VMC,Cruise
Non-Fatal,Substantial,Airplane,Piper,PA-28-181,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,1.0,3.3708830548926016,VMC,Standing
Non-Fatal,Substantial,Airplane,Champion,7GCBC,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,1.0,VMC,Taxi
Non-Fatal,Substantial,Airplane,Cessna,P210N,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,1.0,3.3708830548926016,VMC,Approach
Non-Fatal,Substantial,Airplane,Cessna,P210N,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,2.0,VMC,Cruise
Non-Fatal,Substantial,Airplane,Piper,PA-28R-201T,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,2.0,VMC,Taxi
Non-Fatal,Substantial,Airplane,Gray,Skybolt,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,1.0,3.3708830548926016,VMC,Maneuvering
Non-Fatal,Substantial,Helicopter,Enstrom,F-28C,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,1.0,2.0,VMC,Cruise
Non-Fatal,Substantial,Airplane,Socata,TB 21-TC,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,1.0,IMC,Approach
Non-Fatal,Substantial,Airplane,Cessna,172N,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,1.0,IMC,Landing
Non-Fatal,Substantial,Gyrocraft,Vigneau,RAF 2000 GTX,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,1.0,VMC,Takeoff
Non-Fatal,Substantial,Helicopter,Enstrom,F-28A,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,1.0,VMC,Approach
Non-Fatal,Substantial,Airplane,Spaulding,Tailwind W-8,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,1.0,VMC,Cruise
Non-Fatal,Substantial,Airplane,Piper,PA-28-180,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,1.0,VMC,Approach
Non-Fatal,Substantial,Airplane,Mooney,M20J,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,2.0,VMC,Descent
Non-Fatal,Substantial,Airplane,Piper,PA-28-161,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,1.0,VMC,Go-around
Non-Fatal,Substantial,Airplane,Piper,PA-30,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,3.0,VMC,Cruise
Non-Fatal,Substantial,Airplane,Cessna,150J,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,1.0,1.0,VMC,Approach
Fatal(2),Destroyed,Airplane,Beech,A45,1.0,Reciprocating,Part 91: General Aviation,2.0,0.27351323028556457,0.4613025011798018,3.3708830548926016,VMC,Maneuvering
Non-Fatal,Substantial,Helicopter,Bell,B206L-1,1.0,Turbo Shaft,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,1.0,IMC,Takeoff
Non-Fatal,Substantial,Airplane,Bellanca,14-19,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,1.0,VMC,Takeoff
Non-Fatal,Substantial,Airplane,Cessna,U206G,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,1.0,VMC,Taxi
Non-Fatal,Substantial,Airplane,Breit,Zodiac (CH-601-HDS),1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,1.0,3.3708830548926016,VMC,Takeoff
Non-Fatal,Substantial,Airplane,Raytheon Corporate Jets,400A,2.0,Turbo Fan,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,1.0,2.0,VMC,Standing
Non-Fatal,Substantial,Airplane,"Smith, Ted Aerostar",601P,2.0,Reciprocating,Unknown,1.1167605633802817,0.27351323028556457,1.0,3.3708830548926016,VMC,Landing
Non-Fatal,Substantial,Airplane,Beech,58TC,2.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,2.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Flight Design,CT-2K,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,1.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Fairchild,24W-41A,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,1.0,VMC,Landing
Non-Fatal,Substantial,Ultralight,Top Dog,Trike,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,2.0,VMC,Cruise
Non-Fatal,Substantial,Airplane,Champion,7-GCAA,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,2.0,VMC,Landing
Fatal(1),Destroyed,Airplane,Piper,PA-31P,2.0,Reciprocating,Part 91: General Aviation,1.0,0.27351323028556457,0.4613025011798018,3.3708830548926016,VMC,Cruise
Non-Fatal,Substantial,Helicopter,Enstrom,280C,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,1.0,3.3708830548926016,VMC,Takeoff
